2026-07-29T12:06:45.127Z | risk-detector | notify | current-pin.txt → 깃발 harness(사용자-통제)
2026-07-29T12:16:09.405Z | supervisor-guard | block | 테스트 편집(C:/Dev/AgentDeck/99_Others/tests/agents/agent-model-canon.test.ts)
2026-07-29T12:19:55.397Z | supervisor-guard | open-gate | Edit 통과 (flag age 0m)
2026-07-29T12:20:26.678Z | supervisor-guard | open-gate | Edit 통과 (flag age 1m)
2026-07-29T12:20:26.801Z | risk-detector | notify | execution-owner.md → 깃발 harness(사용자-통제)
2026-07-29T12:22:01.960Z | supervisor-guard | open-gate | Edit 통과 (flag age 2m)
2026-07-29T12:22:02.064Z | risk-detector | notify | subagent-routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:22:07.583Z | supervisor-guard | open-gate | Edit 통과 (flag age 2m)
2026-07-29T12:22:07.678Z | risk-detector | notify | subagent-routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:22:11.055Z | supervisor-guard | open-gate | Edit 통과 (flag age 3m)
2026-07-29T12:22:11.192Z | risk-detector | notify | subagent-routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:22:20.645Z | supervisor-guard | open-gate | Edit 통과 (flag age 3m)
2026-07-29T12:22:20.753Z | risk-detector | notify | subagent-routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:22:25.277Z | supervisor-guard | open-gate | Edit 통과 (flag age 3m)
2026-07-29T12:22:25.366Z | risk-detector | notify | subagent-routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:22:28.757Z | supervisor-guard | open-gate | Edit 통과 (flag age 3m)
2026-07-29T12:22:28.900Z | risk-detector | notify | _routing.md → 깃발 harness(사용자-통제)
2026-07-29T12:23:51.359Z | supervisor-guard | open-gate | Edit 통과 (flag age 4m)
2026-07-29T12:23:51.480Z | risk-detector | notify | _escalation.md → 깃발 harness(사용자-통제)
2026-07-29T12:24:00.778Z | supervisor-guard | open-gate | Edit 통과 (flag age 4m)
2026-07-29T12:24:00.902Z | risk-detector | notify | _escalation.md → 깃발 harness(사용자-통제)
